Model,Balancing,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time
Random Forest,None,0.999365594050682,0.8831168831168831,0.7157894736842105,0.7906976744186046,0.944876338876352,29.20158100128174
SVM,None,0.9992422373383146,0.7708333333333334,0.7789473684210526,0.774869109947644,0.8901008854770065,2.420743942260742
Logistic Regression,None,0.999048391076023,0.847457627118644,0.5263157894736842,0.6493506493506493,0.9260184936578442,0.4504339694976806
SVM,SMOTE,0.9937088076692632,0.1835748792270531,0.8,0.2986247544204322,0.9392387740635414,35.445937156677246
Random Forest,SMOTE,0.982677193106122,0.0747126436781609,0.8210526315789474,0.1369622475856014,0.932578511644241,49.52689480781555
Logistic Regression,SMOTE,0.9772318753744758,0.0583025830258302,0.8315789473684211,0.1089655172413793,0.9259378521677974,0.1586968898773193
Random Forest,ADASYN,0.9589222147816586,0.0333889816360601,0.8421052631578947,0.0642312324367723,0.93475090791355,45.81948184967041
SVM,ADASYN,0.9179854086631656,0.0177702559763063,0.8842105263157894,0.0348403152218996,0.9300752808748672,87.60629105567932
VQC,SMOTE,0.9189370175871427,0.0119176598049837,0.5789473684210527,0.0233545647558386,0.8164555092166348,100.96393990516664
Logistic Regression,ADASYN,0.8670743312303951,0.0109009718938796,0.8736842105263158,0.0215332727980282,0.9266953990685352,0.4886090755462646
VQC,None,0.914355196842068,0.0082559339525283,0.4210526315789473,0.0161943319838056,0.767308980470452,52.335108041763306
VQC,ADASYN,0.8018010080005639,0.006199078993978,0.7368421052631579,0.0122947220514621,0.808859786931805,90.80745196342468
