Model,Balancing,Threshold,TP,FP,FN,TN,Fraud Value Caught ($),Investigation Cost ($),Net Benefit ($),Fraud Value Missed ($)
Logistic Regression,ADASYN,Best-F1,72,41,23,56610,8799.12,1025.0,7774.12,2810.83
Logistic Regression,ADASYN,Default (0.5),83,7531,12,49120,10143.43,188275.0,-178131.57,1466.52
Logistic Regression,None,Best-F1,69,16,26,56635,8432.49,400.0,8032.49,3177.46
Logistic Regression,None,Default (0.5),50,9,45,56642,6110.5,225.0,5885.5,5499.45
Logistic Regression,SMOTE,Best-F1,68,17,27,56634,8310.28,425.0,7885.28,3299.67
Logistic Regression,SMOTE,Default (0.5),79,1276,16,55375,9654.59,31900.0,-22245.41,1955.36
Random Forest,ADASYN,Best-F1,63,7,32,56644,7699.23,175.0,7524.23,3910.72
Random Forest,ADASYN,Default (0.5),80,2316,15,54335,9776.8,57900.0,-48123.2,1833.15
Random Forest,None,Best-F1,74,15,21,56636,9043.54,375.0,8668.54,2566.41
Random Forest,None,Default (0.5),68,9,27,56642,8310.28,225.0,8085.28,3299.67
Random Forest,SMOTE,Best-F1,65,6,30,56645,7943.65,150.0,7793.65,3666.3
Random Forest,SMOTE,Default (0.5),78,966,17,55685,9532.38,24150.0,-14617.62,2077.57
SVM,ADASYN,Best-F1,18,78,77,56573,2199.78,1950.0,249.78,9410.17
SVM,ADASYN,Default (0.5),85,6182,10,50469,10387.85,154550.0,-144162.15,1222.1
SVM,None,Best-F1,70,15,25,56636,8554.7,375.0,8179.7,3055.25
SVM,None,Default (0.5),73,21,22,56630,8921.33,525.0,8396.33,2688.62
SVM,SMOTE,Best-F1,67,23,28,56628,8188.07,575.0,7613.07,3421.88
SVM,SMOTE,Default (0.5),79,969,16,55682,9654.59,24225.0,-14570.41,1955.36
VQC,ADASYN,Best-F1,17,476,78,56175,2077.57,11900.0,-9822.43,9532.38
VQC,ADASYN,Default (0.5),70,11222,25,45429,8554.7,280550.0,-271995.3,3055.25
VQC,None,Best-F1,44,5117,51,51534,5377.24,127925.0,-122547.76,6232.71
VQC,None,Default (0.5),40,4805,55,51846,4888.4,120125.0,-115236.6,6721.55
VQC,SMOTE,Best-F1,3,54,92,56597,366.63,1350.0,-983.37,11243.32
VQC,SMOTE,Default (0.5),55,4560,40,52091,6721.55,114000.0,-107278.45,4888.4
