Model,Balancing,Default Threshold,Default Precision,Default Recall,Default F1,Best-F1 Threshold,Best-F1 Precision,Best-F1 Recall,Best-F1 F1,Youden-J Threshold,Youden-J Precision,Youden-J Recall,Youden-J F1
Logistic Regression,ADASYN,0.5,0.010900971893879695,0.8736842105263158,0.021533272798028278,0.994205785991111,0.6371681415929203,0.7578947368421053,0.6923076923076923,0.7746166963753567,0.04668587896253602,0.8526315789473684,0.08852459016393442
Logistic Regression,None,0.5,0.847457627118644,0.5263157894736842,0.6493506493506493,0.0964846229944092,0.8117647058823529,0.7263157894736842,0.7666666666666667,0.0017576950260584,0.04290254237288135,0.8526315789473684,0.08169440242057488
Logistic Regression,SMOTE,0.5,0.05830258302583026,0.8315789473684211,0.10896551724137932,0.9926956812693862,0.8,0.7157894736842105,0.7555555555555555,0.3979347056109893,0.03925323121110579,0.8631578947368421,0.07509157509157509
Random Forest,ADASYN,0.5,0.0333889816360601,0.8421052631578947,0.06423123243677238,0.987618841007271,0.9,0.6631578947368421,0.7636363636363637,0.6625763620528176,0.06438467807660962,0.8315789473684211,0.11951588502269289
Random Forest,None,0.5,0.8831168831168831,0.7157894736842105,0.7906976744186046,0.12037236513845015,0.8314606741573034,0.7789473684210526,0.8043478260869565,0.0011315405568919,0.04671280276816609,0.8526315789473684,0.08857299070530344
Random Forest,SMOTE,0.5,0.07471264367816093,0.8210526315789474,0.1369622475856014,0.9986961281406204,0.9154929577464789,0.6842105263157895,0.7831325301204819,0.4016996934222259,0.05669737774627923,0.8421052631578947,0.10624169986719788
SVM,ADASYN,0.5,0.013563108345300782,0.8947368421052632,0.02672115686890915,0.9941731873842606,0.1875,0.18947368421052632,0.18848167539267016,0.851450587475453,0.04130545639979602,0.8526315789473684,0.07879377431906615
SVM,None,0.5,0.776595744680851,0.7684210526315789,0.7724867724867724,0.8660241283006724,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.0047281778944684,0.28517110266159695,0.7894736842105263,0.41899441340782123
SVM,SMOTE,0.5,0.07538167938931298,0.8315789473684211,0.13823272090988625,0.9999943459855511,0.7444444444444445,0.7052631578947368,0.7243243243243244,0.2783376682013834,0.0481786133960047,0.8631578947368421,0.09126321647189761
VQC,ADASYN,0.5,0.006199078993978037,0.7368421052631579,0.012294722051462193,0.7990129228077115,0.034482758620689655,0.17894736842105263,0.05782312925170068,0.5312800495048577,0.008281573498964804,0.7157894736842105,0.016373705754875994
VQC,None,0.5,0.008255933952528379,0.42105263157894735,0.016194331983805668,0.4832628561697831,0.008525479558225151,0.4631578947368421,0.0167427701674277,0.2667893657690001,0.0046130189646335215,0.7578947368421053,0.009170222250525377
VQC,SMOTE,0.5,0.011917659804983749,0.5789473684210527,0.02335456475583864,0.8884980756401538,0.05263157894736842,0.031578947368421054,0.039473684210526314,0.3529865640011849,0.007142857142857143,0.7578947368421053,0.014152334152334153
