Seed,Balancing,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time
42,None,0.9281711486272161,0.009366526990386986,0.4,0.018304431599229287,0.8036520932877108,60.42335629463196
42,SMOTE,0.8784583935431572,0.00838392599017057,0.6105263157894737,0.016540710109796092,0.8006796925589643,93.88658571243286
42,ADASYN,0.7694639269728263,0.004577706569008927,0.631578947368421,0.00908953188910771,0.7404488609389532,93.1518828868866
7,None,0.9265498889789588,0.011044417767106842,0.4842105263157895,0.0215962441314554,0.8056759345540423,52.73129200935364
7,SMOTE,0.9354315722694111,0.014157364552137218,0.5473684210526316,0.027600849256900213,0.8647519577393998,108.14885187149048
7,ADASYN,0.23920628766785323,0.001665856875130145,0.7578947368421053,0.0033244066857512234,0.632674110830022,123.04559826850891
123,None,0.8401473231593416,0.0037593984962406013,0.35789473684210527,0.007440639019586388,0.6637058480874125,59.35919165611267
123,SMOTE,0.9254044337926902,0.010874704491725768,0.4842105263157895,0.021271676300578034,0.7034357176767447,111.02420282363892
123,ADASYN,0.41523631621612095,0.0017467774966871462,0.6105263157894737,0.0034835880957386108,0.5530707406103297,108.65887904167175
2024,None,0.962534804215275,0.016658733936220846,0.3684210526315789,0.031876138433515486,0.7804611615533334,59.861849784851074
2024,SMOTE,0.9538645895745955,0.0197944423296536,0.5473684210526316,0.03820720058780309,0.8328129108140425,102.66849303245544
2024,ADASYN,0.6451908504564199,0.0023839086168363547,0.5052631578947369,0.004745427582797825,0.6038451497581221,114.10831189155579
99,None,0.9150600923413104,0.0068879148403256105,0.3473684210526316,0.013507981989357348,0.8178522421214286,61.887670040130615
99,SMOTE,0.9046100165650443,0.00868440502586844,0.49473684210526314,0.01706918467405121,0.7952886045584739,127.84186005592346
99,ADASYN,0.7431537024636098,0.003905714677264629,0.6,0.007760909524133706,0.7061043192436796,123.54709482192993
